"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET";"DIST";"DISTLINK";"DISTPN";"MFR";"MPN";"VALUE";
"1";"0.1uF/50V";"0.1UF_SMD-0402_50V-10%";"CAPC1005X55_SMD-0402";"C1";"";"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_soft_en.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=445-173610-1-ND";"445-173610-1-ND";"TDK Corporation";"C1005X7R1H104K050BE";"0.1uF/50V";
"2";"10uF/6.3V";"10UF_CER_SMD-0402_6.3V-20%";"CAPC1005X55_SMD-0402";"C2, C4";"";"https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx";"Digikey";"https://www.digikey.com/products/en?keywords=490-13233-1-ND";"490-13233-1-ND";"Murata Electronics North America";"GRM155C80J106ME11D";"10uF/6.3V";
"1";"1uF/25V";"1UF_CER_SMD-0402_25V-10%";"CAPC1005X55_SMD-0402";"C3";"";"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_lowprofile_en.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=445-13185-1-ND";"445-13185-1-ND";"TDK Corporation";"CGB2A1X5R1E105K033BC";"1uF/25V";
"2";"1x05 MALE VERT";"1X05_PTH_VERT_MALE_2.54MM";"HDRV5W64P254_1X5_1270X254X838B";"J1, J2";"";"https://s3.amazonaws.com/catalogspreads-pdf/PAGE112-113%20.100%20MALE%20HDR.pdf";"Digikey";"https://www.digikey.com/en/products/detail/sullins-connector-solutions/PEC05SAAN/859158?s=N4IgTCBcDaIMoEYAMCwFEC0SCsGByAIiALoC%2BQA";"S1012E-05-ND";"Sullins Connector Solutions";"PEC05SAAN";"1x05 MALE VERT";
"1";"GREEN";"LED_SMD-0402_DISCRETE_GREEN";"LEDC1005X40_LED-0402";"LED2";"";"https://www.bivar.com/portals/0/products/SM0402GC.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=492-2205-1-ND";"492-2205-1-ND";"Bivar Inc.";"SM0402GC";"GREEN";
"1";"MAX86141ENP+T";"MAX86141";"BGA20C40P5X4_184X204X100N";"U1";"";"https://datasheets.maximintegrated.com/en/ds/MAX86140.pdf";"Digikey";"https://www.digikey.com/en/products/detail/maxim-integrated/MAX86141ENP-T/7804058?s=N4IgTCBcDaILIEEAaAOAbARgCwYKIDkAFAagBUBhUgWnwBEQBdAXyA";"MAX86141ENP+TCT-ND";"Maxim Integrated";"MAX86141ENP+T";"MAX86141ENP+T";
"2";"VEMD8080";"VEMD8080";"SON131P250X480X53-8N";"D1, D2";"PHOTODIODE 780 TO 1050 NM";"https://www.vishay.com/docs/84565/vemd8080.pdf";"Digikey";"https://www.digikey.com/en/products/detail/vishay-semiconductor-opto-division/VEMD8080/8602378?s=N4IgTCBcDaIGoFECyARAHABkwYQCoFoA5FEAXQF8g";"VEMD8080CT-ND";"Vishay Semiconductor Opto Division";"VEMD8080";"VEMD8080";
"1";"VSMD66694";"VSMD66694";"DIOCAV100P200X200X87-4N";"LED1";"";"https://www.vishay.com/docs/84324/vsmd66694.pdf";"Digikey";"https://www.digikey.com/en/products/detail/vishay-semiconductor-opto-division/VSMD66694/6051070?s=N4IgTCBcDaIGoGUCyARAbBgnAFgMIBUBaAORRAF0BfIA";"VSMD66694CT-ND";"Vishay Semiconductor Opto Division";"VSMD66694";"VSMD66694";
